#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-06T05:36:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8abf0a9c6a	
#INFO	-out.max=99999	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=99999
#-nav=cat:J/A+A/530/A138&tab:{J/A+A/530/A138/catalog}&key:source=J/A+A/530/A138&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/530/A138/catalog
#-order=I
#-out=HIP
#-out=Name
#H09=H09
#-out=logg
#-out=Teff
#-out=e_Teff
#-out=[Fe/H]
#-out=RAJ2000
#-out=DEJ2000
#
#RESOURCE=yCat_35300138
#Name: J/A+A/530/A138
#Title: Geneva-Copenhagen survey re-analysis (Casagrande+, 2011)
#Table	J_A_A_530_A138_catalog:
#Name: J/A+A/530/A138/catalog
#Title: *Stellar parameters
#Column	HIP	(I6)	? Hipparcos number (2) [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Name	(a12)	Other name (3)	[ucd=meta.id]
#Column	logg	(F5.2)	? Surface gravity (5)	[ucd=phys.gravity]
#Column	Teff	(F5)	? Effective temperature (6)	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5)	? Teff error (7)	[ucd=stat.error;phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#HIP;Name;logg;Teff;e_Teff;[Fe/H];RAJ2000;DEJ2000
# ; ;[cm/s2];K;K;[Sun];"h:m:s";"d:m:s"
# Note: Values for Sun from Prsa et al. 2016, IAU defined values.
#------;------------;-----;-----;-----;-----;----------;---------
      ;HD 110407   ;     ; 6109;     ;-0.18;12 43 08.7;-72 47 22
 61950;HD 110412   ;     ; 6965;     ;-0.41;12 41 48.3;+09 53 09
 61971;HD 110417   ; 3.80; 5373;   80;-0.57;12 41 59.5;-05 13 15
 62239;HD 110451   ; 4.06; 5866;   80;-0.39;12 45 23.1;-83 39 26
 61979;HD 110464   ; 3.95; 6195;   80; 0.00;12 42 04.5;+32 51 46
 61990;HD 110467   ; 3.69; 6381;   80; 0.03;12 42 15.9;+08 02 31
 62043;HD 110477   ; 4.29; 6620;   80;-0.01;12 43 03.3;-61 08 55
 61883;HD 110520   ; 3.93; 6109;   80;-0.04;12 40 51.3;+79 01 29
 62034;HD 110555   ;     ; 5721;     ;-0.06;12 42 55.3;+05 15 59
  8353;HD 11057    ;     ; 6302;     ;-0.03;01 47 40.5;-43 58 16
 62095;HD 110604   ; 4.60; 5581;   80; 0.06;12 43 32.8;-29 26 28
 62093;HD 110605   ; 4.34; 5586;   80; 0.25;12 43 32.0;-31 23 09
 62105;HD 110606   ; 3.76; 6822;   82;-0.14;12 43 40.4;-35 24 50
      ;HD 11068    ;     ; 6923;   80;-0.44;01 45 19.9;-73 33 11
 62112;HD 110689   ;     ; 6462;     ;-0.07;12 43 47.8;+07 33 30
      ;HD 110758   ;     ; 5475;   80; 0.05;12 44 44.1;-54 49 09
 62196;HD 110770   ; 4.11; 6718;   80;-0.51;12 44 51.4;-52 45 21
 62162;HD 110789   ; 4.09; 6124;  136;-0.44;12 44 22.6;+21 59 36
 62178;HD 110802   ; 4.44; 6041;   80;-0.46;12 44 34.8;+03 31 54
      ;HD 110817   ;     ; 4952;   80;-0.54;12 45 06.7;-47 42 58
 62145;HD 110833   ; 4.52; 4968;   80; 0.03;12 44 14.5;+51 45 33
 62222;HD 110847   ; 4.21; 5573;   80; 0.01;12 45 07.7;-14 53 53
 62252;HD 110861   ;     ; 5467;     ;-0.10;12 45 27.5;-45 51 45
 62175;HD 110869   ;     ; 5777;     ; 0.07;12 44 28.9;+58 41 27
 62254;HD 110875   ; 3.65; 5884;   80; 0.12;12 45 27.8;-37 26 57
 62235;HD 110885   ; 1.96; 5587;   80;-0.63;12 45 19.2;+01 03 21
 62258;HD 110887   ; 3.74; 5391;   80;-0.20;12 45 30.5;-15 30 30
      ;HD 110890   ;     ; 6091;   80; 0.16;12 45 40.0;-36 25 48
 62207;HD 110897   ; 4.43; 5959;  102;-0.56;12 44 59.4;+39 16 44
 62240;HD 110898   ; 4.27; 5912;  158;-0.36;12 45 23.2;+04 21 35
 62293;HD 110909   ; 3.84; 5222;   80;-0.39;12 45 54.0;-51 27 03
      ;HD 110920   ;     ; 6381;   80;-0.05;12 45 44.5;-24 58 36
 62318;HD 111005   ;     ; 6876;     ;-0.61;12 46 14.8;+02 27 51
 62403;HD 111038   ; 4.50; 5236;   80;-0.31;12 47 18.9;-66 14 14
      ;HD 111042   ;     ; 6454;  124;-0.20;12 46 23.9;+23 18 51
  8442;HD 11106    ; 3.61; 5198;   84;-0.46;01 48 51.0;-18 22 38
 62349;HD 111066   ; 4.23; 6215;   80; 0.00;12 46 32.6;+24 08 42
 62350;HD 111069   ; 4.40; 5885;   80; 0.19;12 46 34.1;+11 22 42
 62371;HD 111096   ; 3.90; 5797;   80; 0.29;12 46 59.0;-07 47 59
 62414;HD 111141   ; 3.80; 6794;  168; 0.04;12 47 27.1;-38 49 19
 62384;HD 111154   ; 4.25; 6044;   80;-0.14;12 47 06.7;+22 37 00
      ;HD 111155   ;     ; 6563;   80;-0.06;12 47 04.1;+13 37 00
 62445;HD 111170   ; 3.76; 5007;  106;-0.46;12 47 51.8;-51 26 38
 62364;HD 111179   ; 3.52; 6764;   80;-0.07;12 46 48.4;+51 38 12
 62421;HD 111199   ; 3.69; 6226;   80; 0.19;12 47 33.4;-06 18 06
 62467;HD 111234   ; 4.03; 5710;   80;-0.44;12 48 06.3;-35 42 11
 62453;HD 111257   ; 4.06; 6094;   80;-0.01;12 47 57.3;+08 31 00
 62439;HD 111271   ; 4.05; 6886;   86; 0.04;12 47 48.8;+29 31 55
 62437;HD 111306   ; 4.04; 6694;   80;-0.08;12 47 48.2;+50 09 25
  8486;HD 11131    ;     ; 5776;     ;-0.22;01 49 23.3;-10 42 12
 62535;HD 111340   ; 4.00; 6173;   80; 0.14;12 48 51.9;-37 02 30
  8431;HD 11137    ; 3.98; 6631;   80;-0.04;01 48 40.7;-38 39 27
  8420;HD 11138    ; 3.99; 6351;   80;-0.47;01 48 36.7;-44 06 12
 62487;HD 111380   ; 4.36; 6118;   80;-0.27;12 48 18.8;+54 27 37
      ;HD 111391   ;     ; 5964;   80;-0.30;12 49 44.4;-58 59 40
 62523;HD 111395   ; 4.49; 5614;   80; 0.04;12 48 47.0;+24 50 24
 62536;HD 111398   ; 4.18; 5727;   80; 0.08;12 48 52.4;+12 05 46
 62512;HD 111456   ; 4.31; 6307;   80;-0.19;12 48 39.4;+60 19 11
      ;HD 111460   ;     ; 6700;  135; 0.00;12 49 43.4;-34 06 05
 62596;HD 111484   ;     ; 6310;   80;-0.04;12 49 34.9;+03 49 14
 62596;HD 111484   ; 4.46; 6274;   80;-0.01;12 49 34.8;+03 49 05
  8598;HD 11151    ; 4.10; 6641;   88; 0.23;01 50 57.1;+51 56 00
 62527;HD 111513   ; 4.31; 5827;   80; 0.11;12 48 49.1;+61 22 42
 62607;HD 111515   ;     ; 5503;     ;-0.53;12 49 44.8;+01 11 16
 62659;HD 111563   ; 4.20; 5650;   80; 0.16;12 50 20.0;-24 13 04
 62681;HD 111567   ; 4.08; 5541;   80;-0.36;12 50 39.4;-51 54 45
 62699;HD 111570   ; 4.49; 5512;   81; 0.08;12 50 53.9;-57 43 17
 62634;HD 111603   ; 3.65; 6402;   80;-0.09;12 50 05.0;+42 13 04
 62687;HD 111631   ;     ;     ;     ;     ;12 50 43.5;-00 46 05
 62744;HD 111671   ; 4.53; 5170;   80;-0.13;12 51 23.0;-48 06 09
  8497;HD 11171    ; 4.18; 7008;   80; 0.09;01 49 35.1;-10 41 11
 62706;HD 111717   ; 4.24; 6587;   80;-0.03;12 50 59.5;+31 28 34
 62724;HD 111718   ; 4.15; 6651;   80;-0.06;12 51 12.0;+19 09 40
 62747;HD 111721   ; 2.61; 5040;   80;-1.02;12 51 25.1;-13 29 28
 62800;HD 111799   ; 4.43; 6074;   80; 0.25;12 52 07.4;-26 27 41
 62763;HD 111812   ; 3.05; 5995;   80; 0.24;12 51 41.9;+27 32 26
 62776;HD 111816   ; 4.43; 6238;   80;-0.15;12 51 52.0;+00 05 05
 62782;HD 111844   ; 3.50; 6204;  113; 0.11;12 51 54.3;+19 10 05
  8199;HD 11185    ; 3.64; 6533;   80; 0.03;01 45 23.9;-77 21 24
 62871;HD 111873   ; 4.40; 5972;   80;-0.13;12 53 08.8;-60 52 54
 62819;HD 111892   ; 3.50; 6275;   80; 0.25;12 52 22.8;+17 06 30
 62818;HD 111957   ; 3.08; 6532;   80;-0.14;12 52 21.2;+50 16 54
 62852;HD 111959   ;     ; 6586;     ; 0.09;12 52 58.1;+15 01 53
 62892;HD 111964   ; 4.31; 5421;   80; 0.07;12 53 20.3;-26 41 49
 62923;HD 111971   ; 4.32; 6278;   80;-0.65;12 53 42.4;-57 39 23
 62882;HD 111980   ;     ; 5908;     ;-0.87;12 53 15.0;-18 31 19
 62860;HD 111997   ; 4.29; 6366;   80;-0.03;12 53 03.8;+19 36 18
 62946;HD 112009   ; 3.93; 6936;   80;-0.16;12 53 56.6;-52 16 35
  8591;HD 11202    ; 3.24; 6183;   86; 0.20;01 50 53.0;+35 50 42
 62881;HD 112031   ; 3.95; 6914;  104; 0.02;12 53 13.9;+28 59 23
 63021;HD 112067   ; 4.09; 5662;  102; 0.19;12 54 53.3;-65 49 44
      ;HD 112077   ;     ; 4901;   80;-0.09;12 54 36.6;-58 36 33
 62978;HD 112086   ; 3.87; 6319;   80; 0.09;12 54 15.9;-27 57 34
 62942;HD 112099   ; 4.59; 5140;   80;-0.12;12 53 54.4;+06 45 46
 62988;HD 112103   ; 4.10; 6330;   80; 0.03;12 54 24.7;-39 28 38
 63041;HD 112109   ; 4.18; 6891;   80;-0.14;12 55 03.9;-63 38 26
 63009;HD 112121   ; 4.18; 5585;   80; 0.20;12 54 39.8;-48 03 42
 63032;HD 112136   ; 4.57; 5240;  128; 0.12;12 54 58.2;-55 51 49
 62935;HD 112138   ; 3.97; 5657;   82; 0.15;12 53 51.7;+41 49 21
 63012;HD 112145   ; 3.66; 6069;  144; 0.27;12 54 43.5;-39 30 18
 63033;HD 112164   ; 3.95; 6262;   80; 0.48;12 54 58.5;-44 09 07
 63008;HD 112196   ; 4.33; 5993;   84;-0.18;12 54 40.0;+22 06 28
      ;HD 112217   ;     ; 5929;   80;-0.11;12 56 10.3;-66 46 59
      ;HD 112221   ;     ; 6538;  105; 0.11;12 54 53.2;+11 28 52
 63132;HD 112251   ; 4.35; 5100;   80;-0.79;12 56 05.0;-53 51 10
 63136;HD 112269   ;     ; 5134;     ;-0.49;12 56 11.1;-57 28 13
 63034;HD 112311   ;     ; 6762;     ;-0.02;12 54 59.5;+58 09 37
      ;HD 112316   ;     ; 5368;  927;-0.09;12 56 16.3;-40 29 31
  8273;HD 11234    ; 3.58; 5220;   80;-0.15;01 46 37.6;-74 44 19
 63182;HD 112361   ; 4.10; 6619;   80; 0.10;12 56 39.5;-47 41 10
 63205;HD 112365   ; 4.35; 6164;   80; 0.07;12 56 58.9;-60 08 34
 63162;HD 112375   ; 3.76; 5553;   80;-0.42;12 56 31.1;-26 35 10
 63155;HD 112398   ; 4.01; 6424;   80;-0.04;12 56 26.5;-00 57 16
 63121;HD 112412   ;     ; 6881;     ;-0.20;12 56 00.4;+38 18 53
 63207;HD 112424   ; 4.60; 5067;   80;-0.47;12 56 59.5;-42 31 03
 63229;HD 112456   ;     ; 6331;     ; 0.10;12 57 21.6;-48 38 09
 63221;HD 112503   ;     ; 6709;     ; 0.28;12 57 13.5;+08 17 37
 63191;HD 112515   ;     ; 7097;  145; 0.49;12 56 44.7;+45 36 45
 63190;HD 112515   ; 3.07; 6569;  263;-0.02;12 56 44.6;+45 36 57
 63240;HD 112517   ;     ; 6444;     ; 0.15;12 57 28.5;-09 45 40
 63249;HD 112546   ; 4.07; 5980;   80;-0.09;12 57 35.5;-12 48 45
 63263;HD 112574   ; 4.43; 6145;   92;-0.03;12 57 49.3;-13 08 03
 63387;HD 112608   ; 4.06; 5911;   80;-0.18;12 59 20.3;-70 37 57
  8514;HD 11262    ; 4.36; 6198;   80;-0.29;01 49 48.8;-38 24 10
  8498;HD 11264    ; 4.20; 5692;   80; 0.01;01 49 35.5;-46 46 07
 63353;HD 112646   ; 4.47; 4703;  276;     ;12 58 54.9;-55 40 23
 63411;HD 112703   ; 4.22; 6343;   80;-0.19;12 59 36.9;-64 22 17
 63216;HD 112704   ; 4.10; 6923;   80;-0.03;12 57 09.4;+70 45 19
 63333;HD 112753   ; 4.33; 5861;   80; 0.02;12 58 40.8;+27 28 26
 63354;HD 112756   ; 4.43; 6116;   80;-0.35;12 58 55.1;+05 06 23
 63366;HD 112758   ;     ; 5263;     ;-0.33;12 59 01.5;-09 50 02
 63482;HD 112787   ; 4.15; 6226;   80; 0.12;13 00 26.5;-68 36 19
      ;HD 112833   ;     ; 6848;   80; 0.06;12 59 59.0;-41 23 27
  8622;HD 11284    ; 3.67; 6933;   91;-0.19;01 51 13.3;+24 39 07
 63450;HD 112878   ; 4.22; 5242;   80; 0.06;13 00 05.7;-27 50 22
 63469;HD 112904   ; 4.57; 5559;   80; 0.16;13 00 19.6;-27 07 39
 63418;HD 112929   ; 3.75; 6861;   80; 0.08;12 59 43.9;+40 28 29
 63490;HD 112935   ; 4.12; 6775;   80;-0.17;13 00 32.6;-33 30 19
 63433;HD 112957   ; 4.03; 5674;   80;-0.04;12 59 55.8;+44 30 58
 63440;HD 112959   ; 4.40; 6259;   80;-0.19;13 00 01.9;+32 05 02
 63486;HD 112964   ; 3.52; 5816;   80;-0.02;13 00 29.5;-09 06 01
 63496;HD 112991   ; 3.88; 5503;   80;-0.13;13 00 38.8;-02 33 46
      ;HD 1130     ;     ; 6416;     ;-0.13;00 15 37.3;+23 27 54
 63519;HD 113003   ; 3.46; 6925;  161; 0.43;13 00 57.7;-21 25 34
 63497;HD 113022   ; 4.20; 6588;   80; 0.17;13 00 38.7;+18 22 22
 63473;HD 113036   ; 4.05; 6957;   80;-0.27;13 00 23.2;+41 55 48
  8394;HD 11306    ; 4.14; 5267;   80;-0.50;01 48 19.2;-70 04 10
 63768;HD 113063   ; 3.72; 7083;  114; 0.50;13 04 15.4;-80 13 08
 63559;HD 113083   ; 4.22; 6042;   80;-0.84;13 01 26.2;-27 22 28
 63548;HD 113101   ; 4.48; 5488;   80; 0.08;13 01 19.5;-08 26 25
 63569;HD 113103   ; 4.11; 6739;   80;-0.16;13 01 36.6;-24 39 58
 63503;HD 113139   ; 4.97; 6007; 1196; 0.06;13 00 43.7;+56 21 58
 63651;HD 113152   ; 4.10; 6573;   80;-0.18;13 02 43.8;-61 19 55
  8962;HD 11316    ; 3.85; 7133;  130; 0.70;01 55 26.5;+76 13 27
      ;HD 113182   ;     ; 5255;     ;-0.19;13 02 55.5;-63 27 58
      ;HD 113182   ;     ; 4924;     ;-0.26;13 02 55.7;-63 28 05
 63650;HD 113247   ; 3.22; 4772;  104;-0.91;13 02 43.3;-27 00 37
 64690;HD 113283   ; 4.50; 5649;   80;-0.10;13 15 26.4;-87 33 38
 63632;HD 113303   ; 3.68; 6507;   80;-0.02;13 02 30.6;+23 29 57
 63660;HD 113322   ;     ; 6370;     ;-0.31;13 02 51.0;+13 28 24
 63584;HD 113337   ; 4.20; 6669;   80; 0.09;13 01 46.9;+63 36 36
 63730;HD 113357   ; 4.15; 6960;   80;-0.11;13 03 36.6;-38 58 06
 63797;HD 113376   ; 3.89; 5476;   80;-0.09;13 04 30.9;-65 55 18
 63587;HD 113378   ; 3.97; 6316;   80;-0.36;13 01 49.6;+67 45 39
 63734;HD 113414   ; 4.30; 6149;   80; 0.10;13 03 39.0;-16 20 11
 63738;HD 113415   ; 4.41; 6133;   80; 0.08;13 03 46.1;-20 35 00
 63847;HD 113466   ; 3.91; 5435;   80;-0.30;13 05 05.2;-64 13 55
 64119;HD 113478   ; 3.84; 5965;   80;-0.18;13 08 28.9;-82 43 15
 63614;HD 113490   ; 4.15; 6375;   80; 0.11;13 02 15.3;+72 29 07
 63814;HD 113504   ; 4.09; 6667;   80; 0.13;13 04 45.1;-40 40 57
 63838;HD 113506   ; 2.02; 4503;  178;     ;13 05 00.6;-51 02 28
 63841;HD 113536   ; 3.91; 6713;   94; 0.05;13 05 01.7;-46 33 48
 63849;HD 113537   ; 3.73; 6975;  173; 0.53;13 05 06.6;-47 07 00
 63833;HD 113538   ;     ;     ;     ;     ;13 04 57.4;-52 26 34
      ;HD 113548   ;     ; 6204;  195; 0.28;13 05 00.4;-37 31 29
 63862;HD 113553   ; 4.42; 5719;   83;-0.06;13 05 16.8;-50 51 23
      ;HD 113559   ;     ; 6310;   80;-0.19;13 06 26.5;-72 47 53
 63796;HD 113563   ;     ; 6623;     ; 0.11;13 04 30.7;+08 39 11
  8018;HD 11359    ; 3.85; 5716;   80; 0.33;01 42 55.9;-83 22 01
      ;HD 11361    ;     ; 6094;   80;-0.16;01 52 32.7;+37 59 03
 63840;HD 113610   ; 4.05; 5811;   80;-0.08;13 05 02.0;-17 40 41
 63889;HD 113669   ; 3.53; 6432;   80; 0.21;13 05 35.8;-22 04 16
 63876;HD 113674   ; 3.84; 6950;  144; 0.18;13 05 27.3;-02 33 27
 63878;HD 113713   ; 4.05; 6352;   80;-0.29;13 05 28.4;+14 43 31
  8867;HD 11373    ; 4.61; 4765;   80; 0.17;01 54 06.1;+66 10 34
      ;HD 113748   ;     ; 6507;  190;-0.68;13 06 26.7;-43 38 31
 63975;HD 113766   ; 4.15; 6690;  191; 0.02;13 06 35.8;-46 02 02
 63874;HD 113770   ;     ; 6147;     ;-0.43;13 05 27.1;+41 40 52
 63959;HD 113800   ; 3.51; 6796;   80;-0.01;13 06 26.1;-18 56 58
 63948;HD 113848   ;     ; 6675;     ;-0.05;13 06 21.2;+21 09 12
      ;HD 11385    ;     ; 6574;   80;-0.16;01 52 50.5;+41 29 05
 64006;HD 113870   ; 4.28; 6408;   80;-0.30;13 06 56.3;-34 07 19
 63926;HD 113878   ; 3.36; 7072;  210; 0.74;13 06 00.7;+48 01 41
      ;HD 113887   ;     ; 6716;   80; 0.09;13 07 24.9;-48 03 02
 63977;HD 113893   ; 4.43; 5845;   80;-0.14;13 06 35.7;+11 02 40
      ;HD 113973   ;     ; 5533;   80; 0.02;13 07 52.7;-39 38 46
 64030;HD 113984   ;     ; 6221;     ;-0.38;13 07 19.6;+00 35 05
 64056;HD 114001   ; 4.34; 6561;   80; 0.11;13 07 39.1;-14 11 16
 64051;HD 114018   ; 4.06; 6400;   80;-0.29;13 07 36.6;+01 28 28
 64095;HD 114039   ; 3.12; 6343;  162; 0.30;13 08 07.2;-23 35 18
 64057;HD 114060   ;     ; 5613;     ;-0.22;13 07 39.7;+24 00 35
 64059;HD 114060   ;     ; 5426;     ;-0.09;13 07 40.7;+24 01 11
 64125;HD 114076   ; 4.53; 5190;   80;-0.32;13 08 33.9;-41 38 38
 64103;HD 114094   ; 4.54; 5588;   80;-0.26;13 08 13.1;+03 46 36
 64092;HD 114109   ;     ; 6128;     ;-0.22;13 08 03.1;+26 56 48
 64123;HD 114217   ; 3.97; 6634;   91;-0.03;13 08 32.7;+42 08 52
 64175;HD 114255   ; 4.10; 5851;   80;-0.12;13 09 08.5;+21 27 21
 64219;HD 114260   ; 4.43; 5493;   80;-0.11;13 09 42.5;-22 11 33
 64155;HD 114283   ; 2.94; 6495;   93; 0.16;13 08 56.3;+46 51 12
  8805;HD 11430    ; 4.20; 6753;  102;-0.08;01 53 10.7;+37 19 16
 64264;HD 114335   ; 4.30; 6238;  100; 0.10;13 10 19.4;-32 48 19
 64270;HD 114336   ; 3.65; 6799;   81;-0.08;13 10 20.9;-34 46 45
      ;HD 11435    ;     ; 6917;   98;-0.31;01 51 54.6;-23 08 58
 64390;HD 114371   ; 4.05; 6624;   80;-0.07;13 11 51.4;-69 56 31
 64241;HD 114378/9 ; 4.08; 6416;   80;-0.19;13 09 59.2;+17 31 45
 64292;HD 114385   ; 4.35; 5151;   80;-0.40;13 10 36.2;-31 28 14
      ;HD 114388   ;     ; 4699;  241;-1.23;13 10 51.0;-40 22 15
 64310;HD 114409   ; 4.21; 6526;   80;-0.19;13 10 51.7;-39 29 33
 64323;HD 114411   ; 4.14; 6221;   80;-0.19;13 11 02.3;-45 52 10
      ;HD 114428   ;     ; 6239;   80; 0.09;13 10 03.0;+37 09 04
  8796;HD 11443    ; 3.71; 6400;   80; 0.08;01 53 04.9;+29 34 43
 64303;HD 114432   ; 4.40; 5353;   80;-0.18;13 10 46.6;-24 10 45
 64332;HD 114435   ; 3.54; 6657;  111; 0.58;13 11 08.8;-42 13 58
 64296;HD 114449   ; 3.84; 6840;   80; 0.27;13 10 42.3;-04 56 30
 64312;HD 114520   ; 3.54; 6736;   80; 0.20;13 10 52.3;+21 14 01
 64302;HD 114537   ; 3.88; 6487;   80; 0.28;13 10 45.9;+34 18 02
 64621;HD 114555   ; 4.21; 5953;   80;-0.06;13 14 40.2;-79 17 29
 64384;HD 114561   ; 4.48; 5941;  135;-0.17;13 11 45.1;-35 37 07
 64345;HD 114606   ;     ; 5660;     ;-0.53;13 11 21.4;+09 37 33
 64478;HD 114630   ; 3.94; 6135;   80;-0.03;13 12 55.7;-59 48 59
 64183;HD 114632   ; 3.89; 6531;   80;-0.12;13 09 15.5;+75 10 53
 64407;HD 114642   ;     ; 6428;     ;-0.05;13 12 03.5;-16 11 54
  8723;HD 11469    ; 4.14; 6447;   88;-0.04;01 52 13.4;-27 45 21
 64444;HD 114692   ;     ; 6260;     ;-0.34;13 12 31.8;-34 44 52
 64275;HD 114703   ; 4.56; 4973;   80;-0.06;13 10 20.6;+67 29 41
 64394;HD 114710   ;     ; 6030;     ;-0.01;13 11 52.3;+27 52 40
      ;HD 11472    ;     ; 6405;   80;-0.07;01 54 38.8;+59 55 54
 64405;HD 114723   ;     ; 6560;     ;-0.06;13 12 02.0;+32 05 06
      ;HD 114725   ;     ; 6639;   80;-0.17;13 12 14.0;+16 07 52
 64426;HD 114762   ; 4.23; 5930;   80;-0.74;13 12 19.7;+17 31 01
 64347;HD 114776   ; 3.77; 6221;   82;-0.29;13 11 23.1;+63 08 46
 64499;HD 114823   ; 4.22; 5484;   80;-0.01;13 13 13.5;-05 01 25
 64583;HD 114837   ; 4.21; 6346;   80;-0.27;13 14 15.1;-59 06 11
      ;HD 11484    ;     ; 6026;   80;-0.01;01 54 09.8;+49 18 18
 64498;HD 114842   ; 4.35; 6355;   80; 0.03;13 13 13.7;-02 33 20
 64451;HD 114913   ; 4.31; 6186;   80;-0.14;13 12 37.5;+58 26 56
 64577;HD 114946   ; 3.35; 5057;   80;-0.27;13 14 10.8;-19 55 51
 64611;HD 114948   ; 3.89; 6764;  149;-0.01;13 14 35.7;-42 12 09
      ;HD 114951   ;     ; 4810;  159;-0.18;13 14 50.4;-55 46 05
 64502;HD 114957   ; 4.16; 6080;   80;-0.09;13 13 14.1;+46 29 38
 64538;HD 115020   ; 4.45; 5961;   80;-0.19;13 13 41.0;+46 28 34
 64532;HD 115043   ; 4.45; 5845;   80;-0.16;13 13 37.0;+56 42 29
 64659;HD 115053   ; 3.71; 5234;   80;-0.13;13 15 14.3;-40 23 19
  8770;HD 11506    ; 4.29; 6176;   80; 0.25;01 52 50.5;-19 30 25
  8746;HD 11508    ; 3.76; 6547;   80;-0.03;01 52 33.0;-30 17 17
 64638;HD 115080   ; 4.09; 5647;   80;-0.13;13 14 55.7;-11 22 09
 64790;HD 115149   ; 4.14; 6563;   80;-0.01;13 16 44.9;-65 08 17
 64657;HD 115151   ; 4.29; 6213;   98;-0.25;13 15 13.3;+10 41 19
 64698;HD 115231   ; 4.35; 5683;   80;-0.12;13 15 36.9;+09 00 57
 64738;HD 115233   ; 4.08; 6330;   80; 0.34;13 16 06.0;-21 55 02
 64732;HD 115247   ; 3.42; 5685;  537; 0.21;13 16 03.0;-05 40 07
 64701;HD 115272   ; 4.24; 6370;   80;-0.01;13 15 38.7;+34 10 57
 64726;HD 115273   ; 4.49; 5861;   80;-0.14;13 15 59.1;+04 38 48
 64689;HD 115300   ; 4.22; 6504;  110;-0.21;13 15 30.8;+50 49 57
 64804;HD 115311   ; 4.29; 5468;   80;-0.25;13 16 53.5;-34 35 54
 64972;HD 115346   ; 3.73; 5083;   80;-0.28;13 18 58.3;-74 50 26
 64775;HD 115352   ; 2.56; 5579;  182; 0.48;13 16 29.6;+17 18 00
 64835;HD 115370   ; 4.38; 5374;   80;-0.20;13 17 28.6;-40 32 38
 64792;HD 115383   ; 4.25; 6044;   80; 0.13;13 16 46.5;+09 25 26
 64819;HD 115427   ; 4.10; 6417;   80;-0.05;13 17 12.1;-12 31 33
 64834;HD 115466   ; 3.97; 6917;   80;-0.14;13 17 27.3;-10 32 46
 64728;HD 115476   ; 3.78; 6179;   80;-0.11;13 16 02.5;+63 37 11
 64782;HD 115477   ;     ; 6212;     ; 0.16;13 16 37.1;+50 34 16
 64934;HD 115483   ; 4.60; 4915;   80;-0.34;13 18 36.3;-57 27 14
 64941;HD 115496   ; 4.02; 5815;   80;-0.05;13 18 44.3;-58 16 01
 64908;HD 115560   ; 3.09; 6308;   88; 0.03;13 18 15.2;-26 50 32
 65174;HD 115571   ; 4.46; 6059;   80;-0.37;13 21 23.1;-78 07 42
 64982;HD 115595   ; 4.04; 6443;   80;-0.04;13 19 05.3;-52 39 17
 65010;HD 115602   ; 4.26; 6417;   80;-0.11;13 19 33.1;-63 45 19
 64924;HD 115617   ; 4.42; 5628;     ; 0.07;13 18 24.3;-18 18 40
 64860;HD 115628   ; 4.01; 6671;   80;-0.15;13 17 41.1;+45 53 06
 64872;HD 115638   ; 4.50; 5221;   80; 0.06;13 17 49.0;+45 35 05
 64970;HD 115683   ; 4.00; 6077;  130; 0.14;13 18 58.3;-25 35 44
 64939;HD 115692   ; 4.11; 5847;   80;-0.06;13 18 41.7;+07 11 11
 64960;HD 115710   ; 3.94; 6195;   80;-0.15;13 18 54.3;+00 30 20
  8711;HD 11574    ; 4.20; 6647;   80;-0.16;01 52 06.2;-55 45 35
 64955;HD 115762   ;     ; 5651;     ; 0.20;13 18 51.1;+24 36 41
 65108;HD 115778   ; 3.36; 6892;  127;-0.06;13 20 35.0;-59 46 22
      ;HD 11578    ;     ; 6308;   80;-0.07;01 55 15.9;+57 01 35
 64956;HD 115781   ; 2.08; 4262;  157;     ;13 18 51.9;+33 26 19
 64976;HD 115782   ; 3.67; 5910;   88;-0.10;13 19 01.9;+28 34 04
 65147;HD 115793   ; 4.33; 5746;   80; 0.15;13 20 59.5;-64 34 28
  8792;HD 11581    ; 4.15; 6169;   80;-0.40;01 53 02.8;-33 18 48
 65025;HD 115811   ; 3.59; 6543;   90; 0.07;13 19 44.9;-06 32 29
 65077;HD 115819   ; 4.38; 5865;  137;-0.18;13 20 21.9;-43 57 10
      ;HD 115830   ;     ; 6949;     ;-0.14;13 19 38.9;+09 41 35
 64856;HD 115849   ; 3.90; 6247;   80; 0.05;13 17 37.4;+71 14 48
 65176;HD 115863   ; 4.52; 5970;  292; 0.11;13 21 23.2;-64 02 59
      ;HD 11590    ;     ; 6725;   83;-0.10;01 54 39.3;+40 17 11
